EB18 台灣-消費者信心指數-月(指數) -- 201012-999999,,
,,
年月,數值,預估(F)
2020/11,72.9,P
2020/10,71.1,P
2020/09,71.6,P
2020/08,71.33,P
2020/07,69.43,P
2020/06,68.77,P
2020/05,64.87,P
2020/04,73.39,P
2020/03,78.51,P
2020/02,83.93,P
2020/01,85.3,P
2019/12,84.28,P
2019/11,80.37,P
2019/10,80.97,P
2019/09,80.86,P
2019/08,79.74,P
2019/07,81.48,P
2019/06,79.8,P
2019/05,79.48,P
2019/04,85.33,P
2019/03,84.36,P
2019/02,84.69,P
2019/01,83.63,P
2018/12,79.74,P
2018/11,80.13,P
2018/10,81.95,P
2018/09,83.47,P
2018/08,82.56,P
2018/07,82.38,P
2018/06,83.82,P
2018/05,85.61,P
2018/04,86.89,P
2018/03,87.86,P
2018/02,87.38,P
2018/01,87.69,P
2017/12,86.05,P
2017/11,86.16,P
2017/10,83.34,P
2017/09,82.2,P
2017/08,79.95,P
2017/07,78.19,P
2017/06,77.76,P
2017/05,78.11,P
2017/04,78.2,P
2017/03,78.12,P
2017/02,77.63,P
2017/01,74.35,P
2016/12,77.22,P
2016/11,77.71,P
2016/10,78.95,P
2016/09,78.66,P
2016/08,79.56,P
2016/07,80.18,P
2016/06,78.36,P
2016/05,79.82,P
2016/04,80.37,P
2016/03,81.34,P
2016/02,82.09,P
2016/01,80.89,P
2015/12,81.61,P
2015/11,84.2,P
2015/10,84.6,P
2015/09,85.32,P
2015/08,86.15,P
2015/07,89.58,P
2015/06,90.58,P
2015/05,91.64,P
2015/04,92.93,P
2015/03,91.13,P
2015/02,89.44,P
2015/01,88.23,P
2014/12,86.36,P
2014/11,83.41,P
2014/10,82.98,P
2014/09,83.16,P
2014/08,83.06,P
2014/07,88.17,P
2014/06,87.58,P
2014/05,85.59,P
2014/04,83.73,P
2014/03,80.96,P
2014/02,82.93,P
2014/01,80.83,P
2013/12,78.22,P
2013/11,78.43,P
2013/10,78.47,P
2013/09,76.5,P
2013/08,75.33,P
2013/07,76.08,P
2013/06,75.08,P
2013/05,78.25,P
2013/04,77.29,P
2013/03,76.01,P
2013/02,72.54,P
2013/01,72.82,P
2012/12,71.06,P
2012/11,72.12,P
2012/10,72.73,P
2012/09,74.35,P
2012/08,75.18,P
2012/07,75.08,P
2012/06,76.36,P
2012/05,77.61,P
2012/04,78.92,P
2012/03,81.26,P
2012/02,79.73,P
2012/01,78.55,P
2011/12,77.58,P
2011/11,79.88,P
2011/10,84.04,P
2011/09,85.58,P
2011/08,86.89,P
2011/07,86.84,P
2011/06,85.28,P
2011/05,85.4,P
2011/04,85.78,P
2011/03,83.66,P
2011/02,85.89,P
2011/01,86.78,P
2010/12,83.16,P
