Date,Value,Predict
2020/11,0.09,P
2020/10,0.09,P
2020/09,0.09,P
2020/08,0.1,P
2020/07,0.09,P
2020/06,0.08,P
2020/05,0.05,P
2020/04,0.05,P
2020/03,0.65,P
2020/02,1.58,P
2020/01,1.55,P
2019/12,1.55,P
2019/11,1.55,P
2019/10,1.83,P
2019/09,2.04,P
2019/08,2.13,P
2019/07,2.4,P
2019/06,2.38,P
2019/05,2.39,P
2019/04,2.42,P
2019/03,2.41,P
2019/02,2.4,P
2019/01,2.4,P
2018/12,2.27,P
2018/11,2.2,P
2018/10,2.19,P
2018/09,1.95,P
2018/08,1.91,P
2018/07,1.91,P
2018/06,1.82,P
2018/05,1.7,P
2018/04,1.69,P
2018/03,1.51,P
2018/02,1.42,P
2018/01,1.41,P
2017/12,1.3,P
2017/11,1.16,P
2017/10,1.15,P
2017/09,1.15,P
2017/08,1.16,P
2017/07,1.15,P
2017/06,1.04,P
2017/05,0.91,P
2017/04,0.9,P
2017/03,0.79,P
2017/02,0.66,P
2017/01,0.65,P
2016/12,0.54,P
2016/11,0.41,P
2016/10,0.04,P
2016/09,0.4,P
2016/08,0.4,P
2016/07,0.39,P
2016/06,0.38,P
2016/05,0.37,P
2016/04,0.37,P
2016/03,0.36,P
2016/02,0.38,P
2016/01,0.34,P
2015/12,0.24,P
2015/11,0.12,P
2015/10,0.12,P
2015/09,0.14,P
2015/08,0.14,P
2015/07,0.13,P
2015/06,0.13,P
2015/05,0.12,P
2015/04,0.12,P
2015/03,0.11,P
2015/02,0.11,P
2015/01,0.11,P
2014/12,0.12,P
2014/11,0.09,P
2014/10,0.09,P
2014/09,0.09,P
2014/08,0.09,P
2014/07,0.09,P
2014/06,0.1,P
2014/05,0.09,P
2014/04,0.09,P
2014/03,0.08,R
2014/02,0.07,P
2014/01,0.07,P
2013/12,0.09,P
2013/11,0.08,P
2013/10,0.09,P
2013/09,0.08,P
2013/08,0.08,P
2013/07,0.09,P
2013/06,0.09,P
2013/05,0.11,P
2013/04,0.15,P
2013/03,0.14,P
2013/02,0.15,P
2013/01,0.14,P
2012/12,0.16,P
2012/11,0.16,P
2012/10,0.16,P
2012/09,0.14,P
2012/08,0.13,P
2012/07,0.16,P
2012/06,0.16,P
2012/05,0.16,P
2012/04,0.14,P
2012/03,0.13,P
2012/02,0.1,P
2012/01,0.08,P
2011/12,0.07,P
2011/11,0.08,P
2011/10,0.07,P
2011/09,0.08,P
2011/08,0.1,P
2011/07,0.07,P
2011/06,0.09,P
2011/05,0.09,P
2011/04,0.1,P
2011/03,0.14,P
2011/02,0.16,P
2011/01,0.17,P
2010/12,0.18,R
