CA1801 美國PPI 1982=100(指數) -- 201012-999999,,
,,
年月,數值,預估(F)
2020/11,203.8,P
2020/10,204,P
2020/09,203.3,P
2020/08,203.3,P
2020/07,203.3,R
2020/06,202.2,R
2020/05,200.9,R
2020/04,196.1,R
2020/03,201.8,R
2020/02,205,R
2020/01,206.8,P
2019/12,206,R
2019/11,206.4,R
2019/10,206.3,P
2019/09,205.7,R
2019/08,206.4,R
2019/07,207.4,R
2019/06,206.9,R
2019/05,207.6,R
2019/04,207.1,R
2019/03,204.9,R
2019/02,202.4,R
2019/01,201.8,R
2018/12,202.5,R
2018/11,204.4,R
2018/10,206.7,R
2018/09,205.9,R
2018/08,205.8,R
2018/07,206,R
2018/06,205.9,R
2018/05,205,P
2018/04,202.8,R
2018/03,202.1,P
2018/02,201.2,P
2018/01,201.3,P
2017/12,200.1,P
2017/11,200.6,P
2017/10,199.3,P
2017/09,199.5,P
2017/08,198.2,P
2017/07,197.7,P
2017/06,198,P
2017/05,196.7,P
2017/04,197.7,P
2017/03,196.2,P
2017/02,195.8,P
2017/01,195.6,P
2016/12,193.7,P
2016/11,192.6,P
2016/10,193.5,R
2016/09,193.2,R
2016/08,192.2,P
2016/07,193.5,R
2016/06,193.8,P
2016/05,191.7,R
2016/04,190.3,R
2016/03,189.2,R
2016/02,188.8,R
2016/01,189.9,R
2015/12,190.1,R
2015/11,191.6,R
2015/10,192.4,R
2015/09,193.4,P
2015/08,196.3,R
2015/07,197.4,R
2015/06,197.7,P
2015/05,196,R
2015/04,193.1,R
2015/03,193.6,R
2015/02,192.6,R
2015/01,192.2,R
2014/12,195.4,R
2014/11,198.2,P
2014/10,200.4,R
2014/09,201.7,R
2014/08,202.5,R
2014/07,203,P
2014/06,202.9,R
2014/05,201.8,R
2014/04,202.1,P
2014/03,200.3,R
2014/02,198.9,P
2014/01,198.1,R
2013/12,196.5,R
2013/11,196.1,R
2013/10,196.9,P
2013/09,197.3,P
2013/08,197.9,R
2013/07,197.3,P
2013/06,197.3,R
2013/05,196.9,R
2013/04,196,R
2013/03,196.7,R
2013/02,196.4,R
2013/01,194.9,R
2012/12,193.8,R
2012/11,194.5,P
2012/10,196.4,R
2012/09,196.9,R
2012/08,195.5,R
2012/07,193.3,R
2012/06,192.9,R
2012/05,193.8,R
2012/04,195,R
2012/03,194.5,R
2012/02,193,R
2012/01,192.1,R
2011/12,182.6,R
2011/11,191.9,R
2011/10,191.9,R
2011/09,192.8,R
2011/08,191.8,R
2011/07,192.4,P
2011/06,191.6,R
2011/05,192.7,R
2011/04,191.6,R
2011/03,189.3,R
2011/02,186.7,R
2011/01,184.5,R
2010/12,182.6,R
