Firm,Increase,Predicted_Close,Original_Close
2330台積電,1.0074937585728445,299.2912588352216,297.06512451171875
2317鴻海,1.0069115443832166,75.75245555484938,75.23248291015625
2454聯發科,1.0081965950498442,362.8713627368702,359.9212341308594
6505台塑化,0.9958851978926474,79.92208932521297,80.25231170654297
2412中華電,1.00445644231363,104.06216102147141,103.60047149658203
2308台達電,1.005871340875443,129.8345439238483,129.07669067382812
1301台塑,0.9982935250230662,84.66987932693823,84.81461334228516
2882國泰金,1.0058131349296613,36.921089465103876,36.70770263671875
1303南亞,0.9988084613435303,63.756776859296885,63.83283615112305
2303聯電,1.0052090865322636,14.404434273414424,14.329789161682129
2881富邦金,1.0053422067747249,40.63654760426074,40.42061233520508
1326台化,0.9929716982064246,73.28091284198254,73.79959869384766
3008大立光,1.00279927281725,4330.088728969133,4318.00146484375
2886兆豐金,1.0060685395951632,30.264080570875286,30.08152961730957
2891中信金,1.002767279779603,20.814377279098785,20.75693702697754
1216統一,1.0014033420177615,69.35830542204977,69.2611083984375
2002中鋼,1.0010694889694458,21.882314201081616,21.858936309814453
2207和泰車,1.01908279185134,568.0051133202749,557.3689575195312
3045台灣大,1.001396134865958,99.80581222829174,99.66666412353516
3711日月光投控,1.007035519216584,67.4014484726925,66.93055725097656
